BIN,RANGE_FROM,RANGE_TO,BANK,CARD_TYPE
400079,400079000,400079346,BANK 1,PLATINUM
400079,400079349,400079350,BANK 1,PLATINUM
400079,400079351,400079351,BANK 1,PLATINUM
400079,400079352,400079528,BANK 1,PLATINUM
400079,400079529,400079529,BANK 1,PLATINUM
400079,400079530,400079646,BANK 1,PLATINUM
400079,400079649,400079999,BANK 1,PLATINUM
400244,400244000,400244972,BANK 2,PLATINUM
400244,400244973,400244973,BANK 2,PLATINUM
400244,400244974,400244999,BANK 2,PLATINUM
400628,400628000,400628199,BANK 3,PLATINUM
400628,400628200,400628209,BANK 3,PLATINUM
400628,400628210,400628999,BANK 3,PLATINUM
400774,400774000,400774500,BANK 4,INFINITE
400774,400774501,400774501,BANK 4,INFINITE
400774,400774502,400774999,BANK 4,INFINITE
400787,400787000,400787500,BANK 4,PLATINUM
400787,400787501,400787501,BANK 4,PLATINUM
400787,400787502,400787999,BANK 4,PLATINUM
401376,401376000,401376699,BANK 5,INFINITE
401376,401376700,401376999,BANK 5,INFINITE
401605,401605000,401605004,BANK 6,INFINITE
401605,401605005,401605009,BANK 6,INFINITE
401605,401605010,401605999,BANK 6,INFINITE
402105,402105000,402105000,BANK 7,INFINITE
402105,402105001,402105998,BANK 7,INFINITE
402105,402105999,402105999,BANK 7,INFINITE
402326,402326998,402326998,BANK 8,PLATINUM
402457,402457000,402457001,BANK 9,PLATINUM
402457,402457002,402457999,BANK 9,PLATINUM
402948,402948000,402948099,BANK 6,SIGNATURE
402948,402948100,402948199,BANK 6,SIGNATURE
402948,402948200,402948999,BANK 6,SIGNATURE
403424,403424000,403424009,BANK 10,SIGNATURE
403424,403424010,403424079,BANK 10,SIGNATURE
403424,403424080,403424999,BANK 10,SIGNATURE
403447,403447000,403447009,BANK 10,SIGNATURE
403447,403447010,403447079,BANK 10,SIGNATURE
403447,403447080,403447999,BANK 10,SIGNATURE
403681,403681000,403681899,BANK 11,PLATINUM
403681,403681900,403681999,BANK 11,PLATINUM
403780,403780000,403780000,BANK 12,PLATINUM
403780,403780002,403780009,BANK 12,PLATINUM
403780,403780010,403780999,BANK 12,PLATINUM
403809,403809000,403809099,BANK 13,PLATINUM
403809,403809100,403809980,BANK 13,PLATINUM
403809,403809981,403809981,BANK 13,PLATINUM
403809,403809982,403809999,BANK 13,PLATINUM
403841,403841555,403841555,BANK 14,PLATINUM
403841,403841815,403841815,BANK 14,INFINITE
404136,404136000,404136000,BANK 15,PLATINUM
404136,404136001,404136010,BANK 15,PLATINUM
404136,404136011,404136059,BANK 15,PLATINUM
404136,404136060,404136094,BANK 15,PLATINUM
404136,404136095,404136095,BANK 15,PLATINUM
404136,404136096,404136199,BANK 15,PLATINUM
404136,404136200,404136259,BANK 15,PLATINUM
404136,404136260,404136294,BANK 15,PLATINUM
404136,404136295,404136295,BANK 15,PLATINUM
404136,404136296,404136299,BANK 15,PLATINUM
404136,404136300,404136300,BANK 15,PLATINUM
404136,404136301,404136310,BANK 15,PLATINUM
404136,404136311,404136359,BANK 15,PLATINUM
404136,404136360,404136394,BANK 15,PLATINUM
404136,404136395,404136395,BANK 15,PLATINUM
404136,404136396,404136902,BANK 15,PLATINUM
404136,404136903,404136904,BANK 15,PLATINUM
404136,404136905,404136910,BANK 15,PLATINUM
404136,404136911,404136959,BANK 15,PLATINUM
404136,404136960,404136994,BANK 15,PLATINUM
404136,404136995,404136995,BANK 15,PLATINUM
404136,404136996,404136999,BANK 15,PLATINUM
404224,404224000,404224000,BANK 16,PLATINUM
404224,404224001,404224699,BANK 16,PLATINUM
404224,404224700,404224700,BANK 16,PLATINUM
404224,404224701,404224708,BANK 16,PLATINUM
404224,404224709,404224709,BANK 16,PLATINUM
404224,404224710,404224999,BANK 16,PLATINUM
404586,404586000,404586099,BANK 17,PLATINUM
404586,404586100,404586102,BANK 17,PLATINUM
404586,404586103,404586999,BANK 17,PLATINUM
404593,404593000,404593189,BANK 18,PLATINUM
404593,404593190,404593259,BANK 18,PLATINUM
404593,404593260,404593289,BANK 18,PLATINUM
404593,404593290,404593379,BANK 18,PLATINUM
404593,404593380,404593487,BANK 18,PLATINUM
404593,404593488,404593520,BANK 18,PLATINUM
404593,404593521,404593799,BANK 18,PLATINUM
404593,404593800,404593889,BANK 18,PLATINUM
404593,404593890,404593999,BANK 18,PLATINUM
404730,404730000,404730079,BANK 19,PLATINUM
404730,404730080,404730099,BANK 19,PLATINUM
404730,404730100,404730699,BANK 19,PLATINUM
404730,404730700,404730719,BANK 19,INFINITE
404730,404730720,404730999,BANK 19,INFINITE
404807,404807000,404807599,BANK 20,PLATINUM
404807,404807600,404807600,BANK 20,PLATINUM
404807,404807601,404807642,BANK 20,PLATINUM
404807,404807643,404807643,BANK 20,PLATINUM
404807,404807644,404807703,BANK 20,PLATINUM
404807,404807704,404807704,BANK 20,PLATINUM
404807,404807705,404807710,BANK 20,PLATINUM
404807,404807711,404807711,BANK 20,PLATINUM
404807,404807712,404807776,BANK 20,PLATINUM
404807,404807777,404807777,BANK 20,PLATINUM
404807,404807778,404807839,BANK 20,PLATINUM
404807,404807840,404807840,BANK 20,PLATINUM
404807,404807841,404807977,BANK 20,PLATINUM
404807,404807978,404807978,BANK 20,PLATINUM
404807,404807979,404807999,BANK 20,PLATINUM
404885,404885000,404885499,BANK 20,PLATINUM
404885,404885500,404885500,BANK 20,PLATINUM
404885,404885501,404885501,BANK 20,PLATINUM
404885,404885502,404885504,BANK 20,PLATINUM
404885,404885505,404885511,BANK 20,PLATINUM
404885,404885515,404885603,BANK 20,PLATINUM
404885,404885604,404885604,BANK 20,PLATINUM
404885,404885605,404885610,BANK 20,PLATINUM
404885,404885611,404885611,BANK 20,PLATINUM
404885,404885612,404885642,BANK 20,PLATINUM
404885,404885643,404885643,BANK 20,PLATINUM
404885,404885644,404885697,BANK 20,PLATINUM
404885,404885698,404885698,BANK 20,PLATINUM
404885,404885699,404885839,BANK 20,PLATINUM
404885,404885840,404885840,BANK 20,PLATINUM
404885,404885841,404885977,BANK 20,PLATINUM
404885,404885978,404885978,BANK 20,PLATINUM
404885,404885979,404885999,BANK 20,PLATINUM
405436,405436000,405436000,BANK 21,SIGNATURE
405436,405436001,405436005,BANK 21,SIGNATURE
405436,405436006,405436999,BANK 21,SIGNATURE
405676,405676000,405676000,BANK 22,PLATINUM
405676,405676001,405676099,BANK 22,PLATINUM
405676,405676100,405676100,BANK 22,PLATINUM
405676,405676101,405676999,BANK 22,PLATINUM
405899,405899000,405899099,BANK 23,PLATINUM
405899,405899100,405899499,BANK 23,PLATINUM
405899,405899500,405899999,BANK 23,PLATINUM
405991,405991000,405991009,BANK 24,PLATINUM
405991,405991010,405991999,BANK 24,PLATINUM
406128,406128000,406128001,BANK 25,PLATINUM
406128,406128001,406128001,BANK 25,PLATINUM
406128,406128001,406128999,BANK 25,PLATINUM
406140,406140000,406140009,BANK 26,PLATINUM
406140,406140010,406140010,BANK 26,PLATINUM
406140,406140010,406140011,BANK 26,PLATINUM
406140,406140012,406140019,BANK 26,PLATINUM
406140,406140020,406140020,BANK 26,PLATINUM
406140,406140021,406140999,BANK 26,PLATINUM
406334,406334000,406334389,BANK 27,INFINITE
406334,406334390,406334410,BANK 27,INFINITE
406334,406334411,406334999,BANK 27,INFINITE
406372,406372000,406372055,BANK 28,PLATINUM
406372,406372056,406372099,BANK 28,PLATINUM
406372,406372100,406372955,BANK 28,PLATINUM
406372,406372956,406372999,BANK 28,PLATINUM
406767,406767000,406767019,BANK 29,INFINITE
406767,406767020,406767089,BANK 29,INFINITE
406767,406767090,406767999,BANK 29,INFINITE
407347,407347000,407347682,BANK 1,INFINITE
407347,407347683,407347683,BANK 1,INFINITE
407347,407347684,407347999,BANK 1,INFINITE
407433,407433000,407433999,BANK 30,PLATINUM
407528,407528000,407528099,BANK 31,PLATINUM
407528,407528100,407528299,BANK 31,PLATINUM
407528,407528300,407528999,BANK 31,PLATINUM
408025,408025000,408025000,BANK 32,PLATINUM
408025,408025001,408025239,BANK 32,PLATINUM
408025,408025240,408025240,BANK 32,PLATINUM
408025,408025241,408025999,BANK 32,PLATINUM
408220,408220000,408220399,BANK 33,PLATINUM
408220,408220400,408220400,BANK 33,PLATINUM
408220,408220400,408220999,BANK 33,PLATINUM
408396,408396000,408396200,BANK 34,PLATINUM
408396,408396250,408396269,BANK 34,PLATINUM
408396,408396300,408396999,BANK 34,PLATINUM
408397,408397000,408397200,BANK 34,PLATINUM
408397,408397250,408397269,BANK 34,PLATINUM
408397,408397300,408397999,BANK 34,PLATINUM
409398,409398000,409398001,BANK 22,SIGNATURE
409398,409398002,409398999,BANK 22,SIGNATURE
409956,409956000,409956699,BANK 35,PLATINUM
409956,409956700,409956701,BANK 35,PLATINUM
409956,409956702,409956999,BANK 35,PLATINUM
410934,410934500,410934999,BANK 36,PLATINUM
411790,411790000,411790023,BANK 37,INFINITE
411790,411790024,411790024,BANK 37,INFINITE
411790,411790025,411790999,BANK 37,INFINITE
411900,411900000,411900000,BANK 38,INFINITE
411900,411900000,411900999,BANK 38,INFINITE
412584,412584000,412584112,BANK 39,PLATINUM
412584,412584113,412584113,BANK 39,PLATINUM
412584,412584113,412584122,BANK 39,PLATINUM
412584,412584123,412584124,BANK 39,PLATINUM
412584,412584124,412584999,BANK 39,PLATINUM
